timestamp,t_seconds,arduino_raw_line,pressure_psig,voltage_V,current_A,latest_command,actuator_19_cmd,actuator_15_cmd,actuator_18_cmd,actuator_12_cmd
2026-05-22T13:40:41.981,0.0001,Arming ESC...,,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:42.190,0.2088,,,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:42.402,0.4199,,,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:42.610,0.6294,,,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:42.818,0.8373,,,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:43.028,1.0458,,,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:43.237,1.2559,,,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:43.445,1.4646,,,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:43.655,1.6729,,,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:43.865,1.8835,,,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:44.075,2.0930,,,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:44.316,2.3349,,,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:44.527,2.5437,"0.00,0.36,0,0",0.36,0.0,0.0,ex 0 19,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:44.736,2.7543,"0.20,0.36,0,0",0.36,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:44.946,2.9638,"0.40,0.36,0,0",0.36,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:45.155,3.1732,"0.60,0.55,0,0",0.55,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:45.365,3.3830,"0.80,0.36,0,0",0.36,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:45.575,3.5929,"1.00,0.55,0,0",0.55,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:45.783,3.8021,"1.20,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:45.992,4.0110,"1.40,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:46.201,4.2202,"1.60,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:46.411,4.4291,"1.90,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:46.620,4.6384,"2.10,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:46.828,4.8474,"2.30,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:47.037,5.0562,"2.50,0.36,0,0",0.36,0.0,0.0,ex 0 12,ex 0 19,ex 0 15,ex 0 18,ex 0 12
2026-05-22T13:40:47.246,5.2650,"2.70,0.55,0,0",0.55,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:47.455,5.4739,"2.90,0.36,0,0",0.36,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:47.663,5.6821,"3.10,0.55,0,0",0.55,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:47.871,5.8905,"3.30,0.36,0,0",0.36,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
2026-05-22T13:40:48.081,6.0991,"3.50,0.36,0,0",0.36,0.0,0.0,bb5 12,ex 0 19,bb5 15,ex 0 18,bb5 12
